id,CN_Al_Al,CN_Al_Ga,CN_Al_In,CN_Al_O,CN_Ga_Al,CN_Ga_Ga,CN_Ga_In,CN_Ga_O,CN_In_Al,CN_In_Ga,CN_In_In,CN_In_O,CN_O_Al,CN_O_Ga,CN_O_In,CN_O_O,RR_Al_Al,RR_Al_Ga,RR_Al_In,RR_Al_O,RR_Ga_Al,RR_Ga_Ga,RR_Ga_In,RR_Ga_O,RR_In_Al,RR_In_Ga,RR_In_In,RR_In_O,RR_O_Al,RR_O_Ga,RR_O_In,RR_O_O
1,3.374255270245114,2.232902337329358,,3.901497778084212,3.7215038955489295,1.3231654251185827,,3.5395012823626644,,,,,1.6256240742017547,0.8848753205906661,,7.0229390574737085,3.25,3.25,,1.825,3.25,3.275,,1.925,,,,,1.825,1.925,,2.85
2,1.1905614943086131,1.1409547653790868,,3.0622078604504037,1.9015912756318116,2.316224883381806,,3.7860531706891782,,,,,1.2759199418543343,0.9465132926722948,,3.3030411157732225,3.075,3.075,,2.0,3.075,3.45,,2.0,,,,,2.0,2.0,,2.65
3,2.7477144242417744,0.7635733426546791,,2.7352938388895502,3.308817818170274,0.661805124813009,,2.6326795113306534,,,,,1.4816174960651731,0.3290849389163316,,4.048221709375484,3.325,3.3,,1.975,3.3,3.325,,1.8,,,,,1.975,1.8,,2.825
4,0.8814263074097345,,0.5509070848651934,3.184138900344188,,,,,1.652721254595581,,0.66222583143146,3.6234859899006033,1.5920694501720938,,0.6039143316501003,4.185314996681684,2.875,,2.9,2.0,,,,,2.9,,3.65,2.0,2.0,,2.0,2.65
5,,,,,,1.9854153744390268,2.135214464540684,3.7053168719731695,,3.5586907742344747,1.6545128120325228,2.719841101465274,,1.5438820299888212,0.6799602753663185,3.304605969486063,,,,,,3.325,3.6,1.95,,3.6,3.325,2.175,,1.95,2.175,2.8
6,1.3232124096157358,2.2054550719745327,,2.524378701033412,2.8355850925386847,0.8509655484853819,,2.9632080855224308,,,,,0.9466420128875294,0.8642690249440422,,4.048612305635742,3.375,3.35,,1.975,3.35,3.375,,2.0,,,,,1.975,2.0,,2.8
7,0.0,0.0,2.9782813240533303,5.933470462662967,0.0,0.0,2.9783333209761462,3.6264418752133465,0.1063671901447618,0.31910714153315856,3.616573602503872,4.274298590949574,0.12361396797214512,0.2266526172008341,2.493340844720584,3.470117291703852,0.0,0.0,3.35,2.15,0.0,0.0,3.35,2.175,3.35,3.35,3.35,2.175,2.15,2.175,2.175,2.8
8,0.9923742933536795,,1.4889536838581496,3.4590421469850097,,,,,1.4889536838581496,,0.4967766669515542,1.9752099172538653,1.153014048995003,,0.6584033057512884,3.140220842586082,3.175,,3.3,1.975,,,,,3.3,,3.775,1.9,1.975,,1.9,2.875
9,2.451307537127949,0.5836446516971309,0.9338314427154092,4.127355496573953,1.4174227255501743,1.4174227255501743,0.9921959078851224,3.9531143476447514,1.9843918157702447,0.8681714193994822,0.9921959078851224,4.81765931744902,1.461771738369941,0.5764958423648596,0.8029432195748364,3.4678893579285863,3.1,3.1,3.1,2.025,3.1,3.1,3.1,2.025,3.1,3.1,3.1,2.025,2.025,2.025,2.025,2.625
10,2.2908701953068547,3.5126326998081088,,3.5710696308669383,2.4033802682897583,1.5667204563501105,,3.1717406804149975,,,,,0.9671646916931284,1.255480685997603,,3.3033136444095392,3.475,3.475,,1.875,3.475,3.125,,2.0,,,,,1.875,2.0,,2.675
