Unnamed: 0,id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,Ga_0,Ga_1,Ga_2,Ga_3,Ga_4,Ga_5,Al_0,Al_1,Al_2,Al_3,Al_4,Al_5,O_0,O_1,O_2,O_3,O_4,O_5,In_0,In_1,In_2,In_3,In_4,In_5,lattice_distortion_alpha_degree,lattice_distortion_beta_degree,lattice_distortion_gamma_degree,label,CN_Al_Al,CN_Al_Ga,CN_Al_In,CN_Al_O,CN_Ga_Al,CN_Ga_Ga,CN_Ga_In,CN_Ga_O,CN_In_Al,CN_In_Ga,CN_In_O,CN_O_Al,CN_O_Ga,CN_O_In,CN_O_O,RR_Al_Al,RR_Al_Ga,RR_Al_In,RR_Al_O,RR_Ga_Al,RR_Ga_Ga,RR_Ga_In,RR_Ga_O,RR_In_Al,RR_In_Ga,RR_In_In,RR_In_O,RR_O_Al,RR_O_Ga,RR_O_In,RR_O_O,volume,density,In_new_2,Al_new_3,Ga_new_4,ltr
0,1,33,80.0,0.625,0.375,0.0,9.9523,8.5513,9.1775,90.0026,90.0023,90.0017,-6.9197909743488895,-4.5154221164123785,-1.536291911217763,6.9481541973957945,8.45608288556666,-2.432732080983417,-1.6357822277160867,8.329246279956584,9.701635445381315,-3.014362124472984,-8.065853217665223,-5.314884155483603,-9.150009403488477,-12.278764039358034,16.81765744902003,-0.7433668875181383,-7.667648045531544,13.022130926876185,0.0,0.0,0.0,0.0,0.0,0.0,0.002600000000001046,0.0023000000000052982,0.0016999999999995907,1,3.374255270245114,2.232902337329358,,3.901497778084212,3.7215038955489295,1.3231654251185827,,3.5395012823626644,,,,1.6256240742017547,0.8848753205906661,,7.0229390574737085,3.25,3.25,,1.825,3.25,3.275,,1.925,,,,,1.825,1.925,,2.85,781.0520809134047,0.1024259482241487,0.0,-0.3736269809766332,0.9419248007243436,96
1,2,194,80.0,0.625,0.375,0.0,6.184,6.1838,23.6287,90.0186,89.99799999999998,120.0025,-10.811700566850293,3.5179372221948046,-10.965840523203127,-3.501376480354337,21.77754109005343,-0.016560741840470537,-18.419274830257546,-6.192289830658718,-16.480367380146998,6.425965865007213,34.89964221040455,-0.23367603434850004,-29.330548156241285,-9.3704519107094,-26.48370832498716,9.694593288920547,55.81425648122842,-0.32414137821113553,0.0,0.0,0.0,0.0,0.0,0.0,0.01860000000000639,-0.0020000000000095497,0.002499999999997727,1,1.1905614943086131,1.1409547653790868,,3.0622078604504037,1.9015912756318116,2.316224883381806,,3.7860531706891782,,,,1.2759199418543343,0.9465132926722948,,3.3030411157732225,3.075,3.075,,2.0,3.075,3.45,,2.0,,,,,2.0,2.0,,2.65,782.5001097924257,0.1022364073804688,0.0,0.9694662170613172,0.8776915338955563,45
2,3,227,40.0,0.8125,0.1875,0.0,9.751,5.6595,13.963,90.9688,91.1228,30.5185,-1.5249736723727445,1.6767990241105315,7.945872146472008,-0.571421521681338,-6.420898474099261,-1.1053775024291947,-0.6542117722102265,8.849082845145869,14.034044638180013,-4.107776263958565,-13.379832865969787,-4.741306581187307,-0.8814727804760226,15.425988313406608,18.65710841712701,-7.1531575661569855,-17.775635636650986,-8.272830747249623,0.0,0.0,0.0,0.0,0.0,0.0,0.9688000000000015,1.122799999999998,0.5184999999999995,0,2.7477144242417744,0.7635733426546791,,2.7352938388895502,3.308817818170274,0.661805124813009,,2.6326795113306534,,,,1.4816174960651731,0.3290849389163316,,4.048221709375484,3.325,3.3,,1.975,3.3,3.325,,1.8,,,,,1.975,1.8,,2.825,391.2275308166618,0.10224229342066657,0.0,-0.18544203401782997,-0.378177127090415,3
3,4,167,30.0,0.75,0.0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,0.0,0.0,0.0,0.0,0.0,0.0,-7.992108264889691,-2.809090881674308,-6.5063161651505705,3.00779483712313,14.498424430040258,-0.19870395544882355,-12.166229103920958,-4.429057329093698,-6.535424631486808,5.417252375079788,18.701653735407763,-0.9881950459860934,-3.0183913442430117,0.6973013277181029,-3.537541038029899,-0.6614361943108185,6.555932382272911,-0.03586513340728505,-0.011200000000002321,0.011899999999997135,0.0016999999999995907,1,0.8814263074097345,,0.5509070848651934,3.184138900344188,,,,,1.652721254595581,,3.6234859899006033,1.5920694501720938,,0.6039143316501003,4.185314996681684,2.875,,2.9,2.0,,,,,2.9,,3.65,2.0,2.0,,2.0,2.65,293.3773344671124,0.10225738826924613,-0.1306763477058499,-0.3068488957682793,0.0,82
4,5,194,80.0,0.0,0.625,0.375,6.6614,6.6612,24.5813,89.99600000000002,90.0006,119.9893,-19.086239830812765,-6.3088987997162125,-16.05815059979119,6.682003495900824,35.14439043060396,-0.3731046961846133,0.0,0.0,0.0,0.0,0.0,0.0,-29.06056451319687,-10.240729997563063,-28.288804475639644,10.333018119177558,57.349368988836524,-0.09228812161449468,-9.490989329030446,3.7529886186246126,-13.99247964510928,-3.302191706324033,23.48346897413974,-0.4507969123005856,-0.0039999999999906785,0.0006000000000057071,-0.010699999999999932,0,,,,,,1.9854153744390268,2.135214464540684,3.7053168719731695,,3.5586907742344747,2.719841101465274,,1.5438820299888212,0.6799602753663185,3.304605969486063,,,,,,3.325,3.6,1.95,,3.6,3.325,2.175,,1.95,2.175,2.8,944.7138434058064,0.08468172723243941,-0.1417604218494395,0.0,-0.7145521998549017,45
5,6,227,40.0,0.5625,0.4375,0.0,9.8456,5.7176,14.1244,91.1235,91.3033,30.573,-0.4608861659433741,5.896195913010891,10.889422237899936,-2.756887680514185,-10.428536071956565,-3.139308232496708,-1.4887440066635356,6.941195336688706,12.190019663899017,-2.7934627916406565,-10.701275657235477,-4.147732545048047,-0.7110741654424672,15.58027244431158,18.782613579001275,-7.339221128762852,-18.07153941355881,-8.241051315548722,0.0,0.0,0.0,0.0,0.0,0.0,1.123500000000007,1.3032999999999928,0.5730000000000004,0,1.3232124096157358,2.2054550719745327,,2.524378701033412,2.8355850925386847,0.8509655484853819,,2.9632080855224308,,,,0.9466420128875294,0.8642690249440422,,4.048612305635742,3.375,3.35,,1.975,3.35,3.375,,2.0,,,,,1.975,2.0,,2.8,404.3155782668508,0.09893262132383074,0.0,-0.07964672001006043,-0.6227780969253556,3
6,7,206,80.0,0.0312,0.0938,0.875,10.1664,10.1664,10.1666,90.0009,90.0008,89.9987,-2.027087797221142,2.6720578610558654,6.603512264686161,-0.6093035455749326,-4.57642446746502,-2.0627543154809334,0.0,0.0,0.0,0.0,0.0,0.0,-7.9327664354691425,13.9310167089448,-8.098726741722736,-13.835203417262848,16.031493177191873,-0.09581329168194568,13.154711839977471,-3.698917898513036,-2.997040788231752,12.042318505755055,-10.157671051745716,-8.343400607242021,0.0009000000000014553,0.0007999999999981355,-0.001300000000000523,0,0.0,0.0,2.9782813240533303,5.933470462662967,0.0,0.0,2.9783333209761462,3.6264418752133465,0.1063671901447618,0.31910714153315856,4.274298590949574,0.12361396797214512,0.2266526172008341,2.493340844720584,3.470117291703852,0.0,0.0,3.35,2.15,0.0,0.0,3.35,2.175,3.35,3.35,3.35,2.175,2.15,2.175,2.175,2.8,1050.7759468782083,0.0761342132332541,-0.2948156366186843,0.0,-0.45008888486264026,82
7,8,12,20.0,0.5,0.0,0.5,12.135,3.1533,6.287999999999999,89.9997,105.179,90.0001,0.0,0.0,0.0,0.0,0.0,0.0,5.9959182999518585,-0.7598865890299832,-5.004702522970215,-1.3228969763318323,-0.9912157769816464,2.0827835653618147,11.925162182232866,-1.0503445237789009,-8.032126820665539,-4.014058962061016,-3.893035361567324,5.06440348583992,7.473916728993497,-0.22005313618362424,-4.155443347722311,-2.837496428636248,-3.3184733812711835,3.0575495648198716,-0.00029999999999574817,-14.820999999999998,0.00010000000000331968,2,0.9923742933536795,,1.4889536838581496,3.4590421469850097,,,,,1.4889536838581496,,1.9752099172538653,1.153014048995003,,0.6584033057512884,3.140220842586082,3.175,,3.3,1.975,,,,,3.3,,3.775,1.9,1.975,,1.9,2.875,232.2178272348881,0.08612603191644723,-0.0034849852044324444,-0.04322498765882865,0.0,96
8,9,206,80.0,0.5312,0.2188,0.25,9.4027,9.4023,9.4025,90.0025,90.00299999999999,89.9978,7.6237564595012675,-0.2404632969470413,-3.3562837594070585,3.1381023636138266,-4.267472700094208,-2.897639066666785,-0.7223246707992658,7.7827928544513165,10.415109590961944,-3.4720310419004923,-9.692784920162682,-4.310761812550829,-10.410640504636502,-10.55717626625712,-3.938034245282752,14.293903591004586,14.34867474991926,-3.73672732474747,7.072182227526394,-0.24049643140118201,-3.2204982967894984,4.162247501953457,-3.8516839307368964,-3.921751070552274,0.002499999999997727,0.0029999999999859037,-0.002200000000001978,0,2.451307537127949,0.5836446516971309,0.9338314427154092,4.127355496573953,1.4174227255501743,1.4174227255501743,0.9921959078851224,3.9531143476447514,1.9843918157702447,0.8681714193994822,4.81765931744902,1.461771738369941,0.5764958423648596,0.8029432195748364,3.4678893579285863,3.1,3.1,3.1,2.025,3.1,3.1,3.1,2.025,3.1,3.1,3.1,2.025,2.025,2.025,2.025,2.625,831.2468733460803,0.09624096350338136,-0.3456765356301533,-0.3722638412819941,-0.4515411202098507,82
9,10,194,80.0,0.4062,0.5938,0.0,6.2520000000000024,6.2520000000000024,23.7931,90.0172,89.9994,119.9997,-16.175241129160558,4.79758996864611,-16.38900940717085,-4.776639932889951,32.56425053633141,-0.02095003575615843,-13.763072219720971,-5.341080070776171,-11.608415816394782,5.652281322706808,25.37148803611576,-0.3112012519306347,-29.141215020218358,-9.513667962764467,-26.86618251062069,9.774835682199043,56.007397530839064,-0.2611677194345818,0.0,0.0,0.0,0.0,0.0,0.0,0.017200000000002547,-0.0006000000000057071,-0.00029999999999574817,0,2.2908701953068547,3.5126326998081088,,3.5710696308669383,2.4033802682897583,1.5667204563501105,,3.1717406804149975,,,,0.9671646916931284,1.255480685997603,,3.3033136444095392,3.475,3.475,,1.875,3.475,3.125,,2.0,,,,,1.875,2.0,,2.675,805.4171778167835,0.09932740721628668,0.0,-0.4083707710728899,1.0999186055564516,45
