,id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,Ga_0,Ga_1,Ga_2,Ga_3,Ga_4,Ga_5,Al_0,Al_1,Al_2,Al_3,Al_4,Al_5,O_0,O_1,O_2,O_3,O_4,O_5,In_0,In_1,In_2,In_3,In_4,In_5
0,1,33,80.0,0.625,0.375,0.0,9.9523,8.5513,9.1775,90.0026,90.0023,90.0017,0.068,3.4387,-6.91979097434889,-4.5154221164123785,-1.536291911217763,6.948154197395795,8.45608288556666,-2.432732080983417,-1.635782227716087,8.329246279956584,9.701635445381315,-3.014362124472984,-8.065853217665225,-5.314884155483603,-9.150009403488475,-12.278764039358036,16.81765744902003,-0.7433668875181383,-7.6676480455315446,13.022130926876184,0,0,0,0,0,0
1,2,194,80.0,0.625,0.375,0.0,6.184,6.1838,23.6287,90.0186,89.99799999999999,120.0025,0.249,2.9210000000000003,-10.811700566850293,3.5179372221948046,-10.965840523203127,-3.501376480354337,21.77754109005343,-0.016560741840470537,-18.419274830257546,-6.192289830658717,-16.480367380146998,6.425965865007213,34.89964221040455,-0.23367603434850004,-29.330548156241285,-9.370451910709399,-26.48370832498716,9.694593288920546,55.81425648122843,-0.32414137821113553,0,0,0,0,0,0
2,3,227,40.0,0.8125,0.1875,0.0,9.751,5.6595,13.963,90.9688,91.1228,30.5185,0.1821,2.7438,-1.5249736723727445,1.6767990241105315,7.945872146472007,-0.571421521681338,-6.420898474099261,-1.1053775024291947,-0.6542117722102265,8.84908284514587,14.034044638180012,-4.107776263958565,-13.37983286596979,-4.741306581187307,-0.8814727804760226,15.425988313406608,18.657108417127006,-7.1531575661569855,-17.775635636650982,-8.272830747249623,0,0,0,0,0,0
3,4,167,30.0,0.75,0.0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,0.2172,3.3492,0.0,0.0,0.0,0.0,0.0,0.0,-7.992108264889691,-2.8090908816743076,-6.50631616515057,3.00779483712313,14.498424430040256,-0.19870395544882355,-12.166229103920958,-4.429057329093698,-6.535424631486809,5.417252375079788,18.701653735407756,-0.9881950459860934,-3.018391344243012,0.6973013277181029,-3.537541038029899,-0.6614361943108185,6.555932382272911,-0.03586513340728505
4,5,194,80.0,0.0,0.625,0.375,6.6614,6.6612,24.5813,89.99600000000001,90.0006,119.9893,0.0505,1.3793,-19.086239830812772,-6.308898799716213,-16.05815059979119,6.682003495900824,35.14439043060396,-0.37310469618461334,0.0,0.0,0.0,0.0,0.0,0.0,-29.06056451319687,-10.240729997563063,-28.288804475639644,10.333018119177556,57.349368988836524,-0.09228812161449468,-9.490989329030448,3.7529886186246126,-13.992479645109281,-3.302191706324033,23.48346897413974,-0.45079691230058555
5,6,227,40.0,0.5625,0.4375,0.0,9.8456,5.7176,14.1244,91.1235,91.3033,30.573,0.2209,2.1633,-0.4608861659433741,5.896195913010891,10.889422237899936,-2.756887680514185,-10.428536071956563,-3.139308232496708,-1.4887440066635356,6.941195336688706,12.190019663899015,-2.793462791640657,-10.701275657235477,-4.147732545048047,-0.7110741654424672,15.58027244431158,18.782613579001275,-7.339221128762852,-18.071539413558806,-8.241051315548722,0,0,0,0,0,0
6,7,206,80.0,0.0312,0.0938,0.875,10.1664,10.1664,10.1666,90.0009,90.0008,89.9987,0.0562,0.9854,-2.027087797221142,2.6720578610558654,6.603512264686161,-0.6093035455749326,-4.57642446746502,-2.062754315480933,0.0,0.0,0.0,0.0,0.0,0.0,-7.932766435469142,13.931016708944801,-8.098726741722736,-13.835203417262848,16.031493177191873,-0.09581329168194569,13.154711839977473,-3.6989178985130358,-2.9970407882317516,12.042318505755057,-10.157671051745718,-8.343400607242021
7,8,12,20.0,0.5,0.0,0.5,12.135,3.1533,6.287999999999999,89.9997,105.179,90.0001,0.2243,1.7179,0.0,0.0,0.0,0.0,0.0,0.0,5.995918299951859,-0.7598865890299832,-5.004702522970215,-1.3228969763318323,-0.9912157769816465,2.082783565361815,11.925162182232867,-1.0503445237789009,-8.032126820665539,-4.014058962061016,-3.893035361567324,5.06440348583992,7.473916728993498,-0.22005313618362426,-4.155443347722311,-2.8374964286362476,-3.318473381271184,3.0575495648198716
8,9,206,80.0,0.5312,0.2188,0.25,9.4027,9.4023,9.4025,90.0025,90.00299999999999,89.9978,0.2193,2.6257,7.623756459501266,-0.24046329694704127,-3.356283759407058,3.1381023636138266,-4.267472700094208,-2.897639066666785,-0.7223246707992658,7.7827928544513165,10.415109590961942,-3.4720310419004923,-9.692784920162682,-4.310761812550829,-10.410640504636502,-10.55717626625712,-3.9380342452827524,14.293903591004586,14.34867474991926,-3.73672732474747,7.072182227526395,-0.24049643140118196,-3.220498296789498,4.162247501953457,-3.8516839307368955,-3.9217510705522742
9,10,194,80.0,0.4062,0.5938,0.0,6.252000000000001,6.252000000000001,23.7931,90.0172,89.9994,119.9997,0.1994,2.5187,-16.175241129160558,4.79758996864611,-16.389009407170853,-4.77663993288995,32.56425053633141,-0.02095003575615843,-13.763072219720973,-5.341080070776171,-11.608415816394782,5.652281322706807,25.37148803611576,-0.3112012519306347,-29.141215020218365,-9.513667962764467,-26.866182510620693,9.774835682199042,56.007397530839064,-0.2611677194345818,0,0,0,0,0,0
10,11,167,60.0,0.5833,0.4167,0.0,9.8307,4.915,13.3346,89.9909,90.0103,120.0011,0.0581,3.8723,-7.787277799815732,-2.613939932664641,-5.716750493157118,2.895522384071503,13.504028292972846,-0.2815824514068633,-0.940737938490932,6.930565026588665,-12.713744660421483,-3.836174651296281,13.654482598912423,-3.094390375292384,-11.627754040705444,-12.0915531761597,-11.24758961289428,12.22626546360179,22.875343653599728,-0.13471228744208807,0,0,0,0,0,0
11,12,194,80.0,0.5938,0.4062,0.0,6.1935,6.1934,23.6522,90.0189,89.99799999999999,120.0021,0.259,2.8805,-13.545356913982573,-5.6211237036225805,-12.884476402712194,5.715615788913611,26.42983331669477,-0.09449208529103177,-16.470461229918083,-4.462359365581739,-15.080132432141205,4.595407834942142,31.550593662059292,-0.13304846936040604,-29.303493125899703,-9.390635442709902,-26.538335331471952,9.705839826808926,55.841828457371655,-0.31520438409901796,0,0,0,0,0,0
12,13,33,40.0,0.8125,0.1875,0.0,4.9323,8.4765,9.1059,90.0044,90.0024,90.0015,0.0535,3.9039,3.7812235870824926,-0.0973820156193809,-1.7290102698267356,1.7576314587742146,-2.0522133172557586,-1.660249443154832,-1.984586542387433,5.434572854308449,-7.404280524058046,-3.6806597398842076,9.388867066445478,-1.7539131144242426,-1.7140109594066215,9.118152906210387,10.63391385525588,-3.360184118448331,-8.919902895849258,-5.7579687877620565,0,0,0,0,0,0
13,14,206,80.0,0.125,0.875,0.0,9.3513,9.3512,9.3507,90.0059,90.0051,89.9933,0.078,2.5371,-0.056505504613675026,11.965819962169851,10.738023427225892,-5.935560599225924,-10.681517922612214,-6.030259362943932,4.930242977159775,-0.023499981333954062,-2.4388388010706974,3.3179363698548414,-2.491404176089076,-3.294436388520888,-7.239657911639731,12.845821930720223,-7.506188306313192,-12.69195725891387,14.745846217952922,-0.15386467180635988,0,0,0,0,0,0
14,15,194,80.0,0.375,0.125,0.5,6.6318,6.6314,24.4597,90.0152,90.0071,119.9918,0.39,0.9251,-4.677986735235758,1.0849954234594053,-7.1729579598309625,-0.9426990498153903,11.850944695066715,-0.1422963736440162,-11.89682931327079,-4.546426298817541,-11.615960503015703,4.582776847409632,23.51278981628649,-0.03635054859209502,-29.476422867205912,-10.134909599097735,-27.868725383915468,10.326121052829215,57.34514825112139,-0.19121145373147633,-17.28112243827776,-5.975858641031459,-15.776828104986917,6.159937499154278,33.05795054326467,-0.18407885812281707
15,16,12,80.0,0.4375,0.1875,0.375,24.3679,6.2545,6.1721,89.9997,104.8418,90.0001,0.166,1.5852,16.448601915320882,-0.0547723861701089,-8.406030409539184,-3.6907611686266777,-8.042571505781698,3.745533554796788,23.6050199607491,-0.18023849602680772,-10.967425961822853,3.9111718623840983,-12.63759399892625,-3.7309333663572897,52.621711724878516,-0.2857444868834606,-27.65614030334707,-8.239944556406307,-24.965571421531447,8.525689043289773,31.71232173775524,-0.2860348016462541,-17.827120054247192,-3.308662772972592,-13.885201683508038,3.5946975746188423
16,17,194,80.0,0.9062,0.0625,0.0312,6.1239,6.1235,23.4577,90.0089,90.00299999999999,120.0051,0.2544,2.2913,-5.507539878371544,1.3850450274857105,-7.138041267298023,-1.2708941508716818,12.645581145669563,-0.11415087661402622,-20.1009589653086,-6.741402513002496,-17.776871472429566,7.022917079197125,37.877830437738155,-0.2815145661946306,-29.596928548951972,-9.230428840318389,-26.051328578554884,9.631011143645257,55.64825712750685,-0.40058230332687095,0,0,0,0,0,0
17,18,12,80.0,0.0,0.4062,0.5938,24.765,6.5014,6.486000000000001,90.0003,105.241,90.0,0.0503,1.1844,24.887114035582073,-0.032314910652923835,-12.304675875775787,4.359213979051654,-12.582438159806282,-4.32689906839873,0.0,0.0,0.0,0.0,0.0,0.0,53.20981132658948,-0.28413864703767766,-27.898654552523684,-8.622554896841644,-25.31115677406581,8.906693543879319,35.42820393221942,-0.2751691160995616,-19.09220776999406,-5.167930192820144,-16.33599616222537,5.443099308919702
18,19,167,30.0,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,0.1919,2.5669999999999997,-2.6240115617341755,-1.8008609980452708,-1.4049738715621998,2.2048606064735194,4.028985433296377,-0.40399960842824933,-8.053622736574741,-1.9299422008478373,-6.416215589504602,2.0812441732487925,14.469838326079346,-0.15130197240095358,-12.338773611522498,-4.500252965309285,-6.576204158939009,5.517585952795422,18.914977770461512,-1.0173329874861323,-2.153864634052593,0.5376214268264005,-3.6452342831062015,-0.4527247738125817,5.799098917158796,-0.08489665301381925
19,20,12,20.0,0.25,0.25,0.5,12.2649,3.1889,6.3388,90.0,105.0943,90.0001,0.2063,1.5596,4.9156469567409795,-0.11995739324543314,-3.2489541355162115,-0.499032817201933,-1.6666928212247685,0.6189902104473648,-0.9005344502839119,2.352110516095273,-2.4251699155765296,-1.7285338326852306,3.325704365860441,-0.6235766834100418,12.081586852252093,-1.046315933115127,-8.115239229815026,-4.047155511268365,-3.96634762243706,5.093471444383492,8.004823563043677,-0.5126383413584832,-5.499293879985723,-1.7997443020737982,-2.5055296830579543,2.3123826434322825
